Id,Start time,Completion time,Email,Name,age,gender,tiktok_time,ad_recognition,ad_acknowledgment,ad_misled,skip_speed,skip_immediately,skip_drivers,watch_drivers,ad_as_regular_content,ad_engagement,statement,"Describe a TikTok ad you remember positively. How did you feel when you realized it was an ad, and what made it stand out?",Describe a TikTok ad you remember negatively. What made it stand out?
1,4/23/25 11:14:04,4/23/25 11:17:59,anonymous,,18 - 19,Female,30 minutes to 1 hour,Content feels overly promotional;,Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Repetitive content – the ad looks similar to others I’ve seen;Feels like a hard sell – the ad is too aggressive;,"Entertaining content (humour, visuals);",No,I rarely engage with ads;,1,I realized it’s an ad because the name of a product or brand was said. I don’t like ads ,-
2,4/23/25 11:38:14,4/23/25 11:39:39,anonymous,,18 - 19,Female,30 minutes to 1 hour,"""Sponsored"" label;",Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Poor creativity;Repetitive content – the ad looks similar to others I’ve seen;Feels like a hard sell – the ad is too aggressive;Irrelevant topic – product/brand does not concern my interests;,Influencer or creator I trust/follow;,No,Relatable content;,5,i’ve never seen good ad ,every one 
3,4/23/25 11:45:08,4/23/25 11:47:02,anonymous,,18 - 19,Female,30 minutes to 1 hour,"Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional;",Always,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,Lack of emotional appeal – the ad does not evoke any emotions;Repetitive content – the ad looks similar to others I’ve seen;Length – the ad is too long;Feels like a hard sell – the ad is too aggressive;,Influencer or creator I trust/follow;Useful or relevant product information;,No,Useful product info;I rarely engage with ads;,4,I don’t remember ,I don’t remember 
4,4/23/25 11:56:37,4/23/25 12:00:24,anonymous,,18 - 19,Female,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional;",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;,Useful or relevant product information;,No,I rarely engage with ads;,1,I don't have anything in mind.,"I just skip them, I don't remember."
5,4/23/25 12:08:06,4/23/25 12:10:30,anonymous,,18 - 19,Female,1 - 2 hours,"Unusual call-to-action (e.g., ""Shop now"");",Often,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Always,I skip all ads automatically;,Influencer or creator I trust/follow;,"Yes, occasionally",I rarely engage with ads;,1,Some makeup ad from a trusted influencer ,I dont watch them because they annoy me
6,4/23/25 12:08:38,4/23/25 12:11:20,anonymous,,18 - 19,Female,1 - 2 hours,"Content feels overly promotional;""Sponsored"" label;",Often,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Lack of emotional appeal – the ad does not evoke any emotions;,"Influencer or creator I trust/follow;Entertaining content (humour, visuals);",No,I rarely engage with ads;,4,It had a famous actor and was creative,It used ai and was poorely made
7,4/23/25 13:39:57,4/23/25 13:42:05,anonymous,,18 - 19,Female,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");",Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;,Influencer or creator I trust/follow;Useful or relevant product information;,"Yes, occasionally",I rarely engage with ads;,4,The add was promoting a makeup product and in my eyes it devalued the product itself and the whole video lost authenticity ,A company being overly put in a good light 
8,4/24/25 11:16:42,4/24/25 11:20:19,anonymous,,18 - 19,Male,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");I sometimes realize only after watching that a video is an ad;",Often,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,I skip all ads automatically;,Influencer or creator I trust/follow;Useful or relevant product information;,"Yes, occasionally",I rarely engage with ads;,4,Idk,Idk
9,4/24/25 11:16:27,4/24/25 11:22:31,anonymous,,18 - 19,Non-binary / Third gender,1 - 2 hours,"Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional;""Sponsored"" label;I rarely notice the difference between ads and regular content;",Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;,Useful or relevant product information;Interesting story or narrative;,No,I rarely engage with ads;,3,"I hate all ads, never watch them","All of Mikayla Nogueira's sponsored content, she's obnoxious and has a history of misleading advertising"
10,4/24/25 11:45:41,4/24/25 11:48:30,anonymous,,18 - 19,Male,30 minutes to 1 hour,"Unusual call-to-action (e.g., ""Shop now"");",Often,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,Repetitive content – the ad looks similar to others I’ve seen;Lack of emotional appeal – the ad does not evoke any emotions;Poor creativity;Length – the ad is too long;I skip all ads automatically;,"Emotional connection or appeal;Entertaining content (humour, visuals);Interesting story or narrative;Influencer or creator I trust/follow;Useful or relevant product information;",No,Content featuring influencers I follow;,5,"Rocketjobs with gimper, revo and rojo. It was funny",Ad of some mobile game thats scam
11,4/24/25 13:29:51,4/24/25 13:34:38,anonymous,,18 - 19,Male,30 minutes to 1 hour,"""Sponsored"" label;Content feels overly promotional;I sometimes realize only after watching that a video is an ad;",Often,"No, I don’t feel misled.",Watch for a few seconds before skipping,Often,Feels like a hard sell – the ad is too aggressive;Repetitive content – the ad looks similar to others I’ve seen;Irrelevant topic – product/brand does not concern my interests;Length – the ad is too long;,"Useful or relevant product information;Influencer or creator I trust/follow;Entertaining content (humour, visuals);Interesting story or narrative;","Yes, occasionally",I rarely engage with ads;Humour/entertainment value;Content featuring influencers I follow;,4,"It was tiktok presenting some story with a few characters, at the end it was obvious that it was an ad but watching it was entertaining so I didnt feel misled","Temu ads, those are repetetive and very straight forward "
12,4/27/25 17:09:48,4/27/25 17:13:46,anonymous,,18 - 19,Female,30 minutes to 1 hour,"""Sponsored"" label;Content feels overly promotional;",Rarely,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Often,Lack of emotional appeal – the ad does not evoke any emotions;,catchy music;,"Yes, occasionally",I rarely engage with ads;,3,"a wedding service containing ai pictures, I realized at the very end it was an ad, also didn't catch it was ai at first",none
13,4/27/25 18:02:35,4/27/25 18:06:01,anonymous,,18 - 19,Male,30 minutes to 1 hour,"""Sponsored"" label;Content feels overly promotional",Always,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Poor creativity,"Interesting story or narrative;Influencer or creator I trust/follow;Entertaining content (humour, visuals)","Yes, occasionally",I rarely engage with ads,5,"It was a funny bit, i felt repsect for the creative process of the page admin  ","It was agressive, very ""in your face"" "
14,4/28/25 20:27:16,4/28/25 20:33:44,anonymous,,23 - 25,Female,30 minutes to 1 hour,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");I sometimes realize only after watching that a video is an ad",Often,"Yes, but it doesn’t affect my perception of the ad.",Watch the full ad,Sometimes,Poor creativity;Irrelevant topic – product/brand does not concern my interests;Lack of emotional appeal – the ad does not evoke any emotions,Interesting story or narrative;Emotional connection or appeal,"Yes, frequently",I rarely engage with ads,4,I guess it was a T-mobile Christmas ad. It was full of emotions and it had a great storyline. I was really touched by that ad.,"To be honest, I don’t remember any ad that I would consider negative."
15,4/28/25 20:34:13,4/28/25 20:41:27,anonymous,,20 - 22,Male,Less than 30 minutes,"""Sponsored"" label",Always,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Always,Irrelevant topic – product/brand does not concern my interests;Length – the ad is too long;Repetitive content – the ad looks similar to others I’ve seen,"Interesting story or narrative;Entertaining content (humour, visuals)","Yes, occasionally",Useful product info;Humour/entertainment value,5,I remember it when its funny ,Shopee ad with anoing music 
16,05/02/2025 10:40,05/02/2025 10:49,anonymous,,20 - 22,Female,1 - 2 hours,"""Sponsored"" label;Content feels overly promotional",Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Feels like a hard sell – the ad is too aggressive;I skip all ads automatically;Poor creativity;Length – the ad is too long;Lack of emotional appeal – the ad does not evoke any emotions,"Entertaining content (humour, visuals)","Yes, occasionally",I rarely engage with ads;Humour/entertainment value,4,"I believe it was something about food restaurant, it was nice and humorous way to advertise the place, i’ve realized immediately, it had sponsored label but I stayed cause I was invested ","almost every ad on this app, they’re all the same, all forced and fake "
17,05/02/2025 10:40,05/02/2025 10:53,anonymous,,18 - 19,Female,30 minutes to 1 hour,"Content feels overly promotional;""Sponsored"" label",Rarely,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,Feels like a hard sell – the ad is too aggressive;I skip all ads automatically;Irrelevant topic – product/brand does not concern my interests,nice background music,"Yes, occasionally",I rarely engage with ads,4,"Right now there’s a Zalando (I think) ad with a really nice music and the beat makes it stand out, because it’s like electronic, so I wouldn’t expect that in an ad.","I think an ad advertising a necklace for like mother’s day. I thought someone is genuinely showing their nice idea of a gift, so i was upset when i realised. It wasn’t really standing out rather just praying on emotions."
18,05/02/2025 10:51,05/02/2025 10:55,anonymous,,18 - 19,Female,1 - 2 hours,"""Sponsored"" label",Often,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Sometimes,Repetitive content – the ad looks similar to others I’ve seen,"Entertaining content (humour, visuals);Useful or relevant product information","Yes, occasionally",Humour/entertainment value,5,-,-
19,05/02/2025 13:31,05/02/2025 13:34,anonymous,,18 - 19,Female,More than 2 hours,"""Sponsored"" label;Content feels overly promotional",Always,"No, I don’t feel misled.",Watch for a few seconds before skipping,Often,Irrelevant topic – product/brand does not concern my interests,"Interesting story or narrative;Entertaining content (humour, visuals);Influencer or creator I trust/follow","Yes, occasionally",I rarely engage with ads,5,.,.
20,05/02/2025 14:11,05/02/2025 14:13,anonymous,,18 - 19,Male,30 minutes to 1 hour,"Unusual call-to-action (e.g., ""Shop now"")",Always,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,Poor creativity,Useful or relevant product information,No,Useful product info,5,No ,No
